x0,3b922104b70c94b592659573a65c60fe2f225e395a542e48de5dc5a8269fe94f
Era,1,Eratimeout,300
F1,69ebb13551308edfa69704666f23de7f,e1,79
"0000000000000000000000000000000000000000000000000000000000000379",887,2644786,2644786
"00000000000000000000000000000000000000000000000000000000000003e9",112,464505,3109291
"0000000000000000000000000000000000000000000000000000000000000408",30,59673,3168964
"000000000000000000000000000000000000000000000000000000000000043a",50,360445,3529409
"000000000000000000000000000000000000000000000000000000000000062e",498,1759249,5288658
"0000000000000000000000000000000000000000000000000000000000000658",42,361315,5649973
"000000000000000000000000000000000000000000000000000000000000073d",228,692764,6342737
"00000000000000000000000000000000000000000000000000000000000007a4",103,122395,6465132
"0000000000000000000000000000000000000000000000000000000000000c66",1213,2957660,9422792
"0000000000000000000000000000000000000000000000000000000000000e8e",550,1439950,10862742
"0000000000000000000000000000000000000000000000000000000000000f17",136,274575,11137317
"0000000000000000000000000000000000000000000000000000000000000f20",9,14171,11151488
"0000000000000000000000000000000000000000000000000000000000000f64",68,50741,11202229
"0000000000000000000000000000000000000000000000000000000000000fb6",82,181004,11383233
"0000000000000000000000000000000000000000000000000000000000000fce",24,41943,11425176
"0000000000000000000000000000000000000000000000000000000000001287",694,2394087,13819263
"00000000000000000000000000000000000000000000000000000000000013a8",288,281167,14100430
"00000000000000000000000000000000000000000000000000000000000013de",54,40632,14141062
"00000000000000000000000000000000000000000000000000000000000014ea",267,485933,14626995
"00000000000000000000000000000000000000000000000000000000000017da",749,2066285,16693280
"0000000000000000000000000000000000000000000000000000000000001afd",800,2477642,19170922
"0000000000000000000000000000000000000000000000000000000000001e38",823,2220042,21390964
"0000000000000000000000000000000000000000000000000000000000001e40",8,2803,21393767
"0000000000000000000000000000000000000000000000000000000000001ed8",152,114739,21508506
"00000000000000000000000000000000000000000000000000000000000021d3",760,1481477,22989983
"000000000000000000000000000000000000000000000000000000000000264b",1139,1231900,24221883
"00000000000000000000000000000000000000000000000000000000000026e2",151,145707,24367590
"0000000000000000000000000000000000000000000000000000000000002980",667,1762358,26129948
"0000000000000000000000000000000000000000000000000000000000002bf9",631,2263113,28393061
"0000000000000000000000000000000000000000000000000000000000002d00",261,207287,28600348
"0000000000000000000000000000000000000000000000000000000000002d65",101,274299,28874647
"0000000000000000000000000000000000000000000000000000000000002f2f",456,885335,29759982
"0000000000000000000000000000000000000000000000000000000000002f50",33,170404,29930386
"0000000000000000000000000000000000000000000000000000000000003027",214,1313266,31243652
"000000000000000000000000000000000000000000000000000000000000312f",263,1323292,32566944
"0000000000000000000000000000000000000000000000000000000000004192",4179,14530834,47097778
"00000000000000000000000000000000000000000000000000000000000041a2",16,88622,47186400
"00000000000000000000000000000000000000000000000000000000000041d9",55,282776,47469176
"0000000000000000000000000000000000000000000000000000000000004309",302,1498361,48967537
"0000000000000000000000000000000000000000000000000000000000004641",821,1547806,50515343
"0000000000000000000000000000000000000000000000000000000000004db7",1903,7241222,57756565
"0000000000000000000000000000000000000000000000000000000000004dcd",22,24371,57780936
"0000000000000000000000000000000000000000000000000000000000004e54",134,97408,57878344
"0000000000000000000000000000000000000000000000000000000000004ead",89,52610,57930954
"0000000000000000000000000000000000000000000000000000000000005090",481,2056676,59987630
