x y1
78 1
140 1
142 1
250 1
354 1
421 1
432 1
513 1
552 1
589 1
729 1
736 1
784 1
837 1
928 1
949 1
966 1
982 1
1014 1
1037 1
1048 1
1050 1
1068 1
1142 1
1264 1
1269 1
1296 1
1301 1
1362 1
1378 1
1427 1
1580 1
1621 1
1677 1
1782 1
1833 1
1890 1
1932 1
1983 1
1984 1
2132 1
2245 1
2531 1
2540 1
2650 1
2685 1
2704 1
2711 1
2789 1
2804 1
2892 1
2943 1
2984 1
3042 1
3085 1
3137 1
3163 1
3254 1
3268 1
3388 1
3408 1
3434 1
3474 1
3516 1
3526 1
3537 1
3578 1
3640 1
3676 1
3821 1
3886 1
3964 1
3976 1
4082 1
4126 1
4268 1
4297 1
4299 1
4317 1
4408 1
4412 1
4462 1
4512 1
4623 1
4632 1
4658 1
4782 1
5025 1
5050 1
5137 1
5224 1
5321 1
5346 1
5393 1
5428 1
5474 1
5501 1
5608 1
5654 1
5664 1
5686 1
5699 1
5713 1
5716 1
5832 1
5834 1
5891 1
5913 1
6017 1
6038 1
6043 1
6149 1
6171 1
6222 1
6260 1
6266 1
6323 1
6393 1
6395 1
6448 1
6619 1
6643 1
6716 1
6909 1
6917 1
6926 1
6927 1
6993 1
6995 1
7028 1
7033 1
7156 1
7214 1
7215 1
7410 1
7415 1
7467 1
7479 1
7548 1
7560 1
7596 1
7661 1
7677 1
7688 1
7719 1
7784 1
7828 1
7903 1
7904 1
7912 1
7916 1
7924 1
7988 1
7991 1
8047 1
8079 1
8131 1
8177 1
8189 1
8210 1
8227 1
8283 1
8295 1
8403 1
8447 1
8461 1
8511 1
8581 1
8583 1
8589 1
8623 1
8628 1
8638 1
8690 1
8879 1
8888 1
8912 1
9003 1
9037 1
9104 1
9152 1
9185 1
9213 1
9225 1
9285 1
9380 1
9398 1
9508 1
9559 1
9603 1
9647 1
9707 1
9740 1
9769 1
9781 1
9800 1
9818 1
9866 1
9907 1
9915 1
