x y1
10 1
34 1
98 1
156 1
166 1
181 1
207 1
249 1
266 1
413 1
594 1
626 1
673 1
739 1
840 1
861 1
882 1
886 1
905 1
1050 1
1245 1
1303 1
1344 1
1458 1
1465 1
1589 1
1613 1
1629 1
1636 1
1665 1
1716 1
1752 1
1764 1
1794 1
1853 1
1867 1
1893 1
1973 1
2013 1
2028 1
2036 1
2175 1
2200 1
2212 1
2272 1
2402 1
2404 1
2432 1
2439 1
2528 1
2532 1
2549 1
2652 1
2658 1
2671 1
2707 1
2752 1
2815 1
2915 1
2918 1
2961 1
2964 1
2997 1
3197 1
3260 1
3289 1
3362 1
3374 1
3400 1
3419 1
3488 1
3489 1
3507 1
3541 1
3553 1
3560 1
3565 1
3574 1
3609 1
3692 1
3697 1
3708 1
3842 1
3863 1
3926 1
4028 1
4051 1
4127 1
4215 1
4273 1
4315 1
4316 1
4351 1
4391 1
4416 1
4478 1
4571 1
4588 1
4790 1
4859 1
4903 1
4943 1
5010 1
5030 1
5045 1
5182 1
5219 1
5225 1
5230 1
5321 1
5325 1
5327 1
5385 1
5403 1
5457 1
5473 1
5521 1
5587 1
5591 1
5695 1
5814 1
5841 1
5958 1
5959 1
6012 1
6013 1
6065 1
6143 1
6152 1
6189 2
6193 1
6222 1
6225 1
6271 1
6301 1
6407 1
6412 1
6439 1
6476 1
6527 1
6606 1
6656 1
6702 1
6795 1
6799 1
6811 1
6905 1
6919 1
6921 1
6924 1
6931 1
7061 1
7103 1
7113 1
7124 1
7155 1
7167 1
7335 1
7353 1
7459 1
7528 1
7608 1
7642 1
7737 1
7759 1
7786 1
7890 1
8171 1
8183 1
8201 1
8312 1
8497 1
8582 1
8681 1
8692 1
8839 1
8880 1
8906 1
8923 1
8965 1
8970 1
9045 1
9094 1
9175 1
9184 1
9200 1
9206 1
9229 1
9254 1
9312 1
9372 1
9406 1
9469 1
9610 1
9697 1
9734 1
9776 1
9837 1
9948 1
