x y1 y2 y3
0 0.59 0.69 0.75
1 0.62 0.7 0.81
2 0.5 0.63 0.87
3 0.52 0.72 0.82
4 0.61 0.66 0.83
5 0.52 0.66 0.75
6 0.52 0.69 0.79
7 0.53 0.74 0.81
8 0.64 0.58 0.85
9 0.62 0.67 0.79
10 0.62 0.7 0.76
11 0.61 0.72 0.78
12 0.61 0.74 0.77
13 0.59 0.65 0.71
14 0.63 0.73 0.74
15 0.64 0.73 0.72
16 0.55 0.69 0.76
17 0.59 0.73 0.81
18 0.58 0.64 0.81
19 0.59 0.71 0.79
20 0.66 0.66 0.8
21 0.58 0.76 0.81
22 0.56 0.67 0.81
23 0.66 0.7 0.83
24 0.57 0.74 0.76
25 0.55 0.66 0.8
26 0.66 0.62 0.76
27 0.6 0.71 0.77
28 0.59 0.7 0.77
29 0.66 0.68 0.82
30 0.55 0.7 0.8
31 0.58 0.64 0.75
32 0.61 0.69 0.86
33 0.64 0.64 0.87
34 0.58 0.7 0.82
35 0.65 0.78 0.86
36 0.53 0.69 0.81
37 0.57 0.68 0.82
38 0.64 0.69 0.76
39 0.57 0.68 0.86
40 0.7 0.74 0.86
41 0.68 0.74 0.83
42 0.58 0.77 0.85
43 0.62 0.61 0.75
44 0.56 0.75 0.76
45 0.57 0.67 0.84
46 0.58 0.63 0.78
47 0.54 0.69 0.79
48 0.53 0.71 0.79
49 0.63 0.68 0.8
50 0.6 0.74 0.85
51 0.55 0.67 0.78
52 0.68 0.62 0.81
53 0.63 0.69 0.81
54 0.64 0.59 0.8
55 0.59 0.57 0.75
56 0.56 0.63 0.88
57 0.57 0.71 0.75
58 0.64 0.69 0.79
59 0.56 0.72 0.84
60 0.69 0.67 0.82
61 0.6 0.74 0.84
62 0.61 0.74 0.75
63 0.67 0.69 0.83
64 0.65 0.62 0.81
65 0.52 0.65 0.79
66 0.58 0.67 0.78
67 0.61 0.76 0.75
68 0.68 0.78 0.7
69 0.65 0.75 0.83
70 0.59 0.74 0.82
71 0.6 0.76 0.72
72 0.55 0.63 0.81
73 0.63 0.7 0.78
74 0.58 0.77 0.76
75 0.57 0.66 0.81
76 0.62 0.69 0.83
77 0.51 0.64 0.83
78 0.61 0.62 0.78
79 0.53 0.76 0.86
80 0.62 0.66 0.85
81 0.52 0.68 0.82
82 0.58 0.71 0.84
83 0.6 0.67 0.77
84 0.66 0.81 0.81
85 0.62 0.69 0.79
86 0.64 0.7 0.84
87 0.58 0.67 0.81
88 0.61 0.67 0.77
89 0.65 0.77 0.8
90 0.7 0.69 0.74
91 0.67 0.7 0.81
92 0.61 0.65 0.81
93 0.66 0.74 0.84
94 0.71 0.68 0.78
95 0.63 0.74 0.77
96 0.59 0.65 0.84
97 0.6 0.69 0.72
98 0.48 0.69 0.84
99 0.5 0.68 0.85
