x y1 y2 y3
0 0.69 0.7 0.85
1 0.68 0.75 0.77
2 0.54 0.76 0.77
3 0.52 0.78 0.82
4 0.63 0.69 0.81
5 0.57 0.71 0.79
6 0.65 0.73 0.8
7 0.66 0.76 0.72
8 0.57 0.73 0.79
9 0.55 0.69 0.83
10 0.63 0.66 0.77
11 0.57 0.66 0.77
12 0.73 0.64 0.76
13 0.59 0.64 0.71
14 0.63 0.76 0.75
15 0.64 0.71 0.8
16 0.61 0.66 0.72
17 0.58 0.69 0.79
18 0.6 0.64 0.8
19 0.65 0.71 0.78
20 0.65 0.74 0.89
21 0.51 0.64 0.75
22 0.58 0.73 0.76
23 0.66 0.72 0.79
24 0.59 0.66 0.82
25 0.48 0.74 0.83
26 0.53 0.61 0.78
27 0.64 0.64 0.76
28 0.59 0.72 0.78
29 0.6 0.67 0.76
30 0.62 0.7 0.77
31 0.57 0.7 0.76
32 0.65 0.74 0.75
33 0.63 0.62 0.86
34 0.58 0.65 0.85
35 0.64 0.6 0.79
36 0.48 0.72 0.79
37 0.57 0.69 0.75
38 0.56 0.77 0.82
39 0.63 0.68 0.84
40 0.68 0.69 0.78
41 0.51 0.69 0.8
42 0.61 0.78 0.8
43 0.59 0.59 0.85
44 0.7 0.59 0.78
45 0.57 0.74 0.86
46 0.59 0.61 0.79
47 0.55 0.61 0.75
48 0.59 0.65 0.8
49 0.57 0.72 0.79
50 0.58 0.72 0.82
51 0.64 0.63 0.81
52 0.64 0.69 0.79
53 0.62 0.75 0.82
54 0.55 0.7 0.85
55 0.64 0.76 0.75
56 0.51 0.64 0.82
57 0.57 0.75 0.83
58 0.65 0.66 0.8
59 0.61 0.6 0.79
60 0.6 0.7 0.74
61 0.59 0.77 0.85
62 0.58 0.72 0.85
63 0.66 0.74 0.85
64 0.62 0.69 0.76
65 0.61 0.76 0.81
66 0.66 0.7 0.79
67 0.58 0.68 0.75
68 0.61 0.68 0.78
69 0.5 0.72 0.74
70 0.57 0.68 0.8
71 0.59 0.79 0.81
72 0.62 0.67 0.75
73 0.58 0.66 0.85
74 0.64 0.73 0.79
75 0.53 0.73 0.83
76 0.64 0.76 0.75
77 0.57 0.79 0.74
78 0.58 0.72 0.84
79 0.62 0.64 0.8
80 0.56 0.66 0.76
81 0.61 0.66 0.8
82 0.56 0.71 0.75
83 0.67 0.72 0.79
84 0.59 0.73 0.82
85 0.64 0.68 0.8
86 0.57 0.7 0.78
87 0.53 0.68 0.75
88 0.69 0.68 0.73
89 0.66 0.73 0.88
90 0.62 0.63 0.77
91 0.56 0.68 0.76
92 0.6 0.66 0.82
93 0.5 0.69 0.75
94 0.56 0.73 0.78
95 0.53 0.68 0.79
96 0.63 0.66 0.78
97 0.64 0.68 0.73
98 0.58 0.63 0.89
99 0.56 0.73 0.79
