x y
21 1
108 1
149 1
167 1
208 1
230 1
231 1
288 1
440 1
544 1
583 1
611 1
757 1
817 1
956 1
1042 1
1044 1
1083 1
1222 1
1247 1
1333 1
1566 1
1588 1
1752 1
1753 1
1755 1
1846 1
1856 1
1859 1
1912 1
1959 1
2024 1
2117 1
2190 1
2217 1
2315 1
2334 1
2436 1
2466 1
2514 1
2565 1
2629 1
2631 1
2693 1
2701 1
2718 1
2720 1
2788 1
2803 1
2814 1
2840 1
2862 1
2871 1
2921 1
2976 1
2978 1
3031 1
3035 1
3075 1
3146 1
3202 1
3229 1
3247 1
3277 1
3304 1
3323 1
3385 1
3409 1
3577 1
3583 1
3593 1
3598 1
3619 1
3637 1
3652 1
3689 1
3693 1
3739 1
3756 1
3951 1
3988 1
4001 1
4028 1
4113 1
4128 1
4306 1
4428 1
4527 1
4529 1
4533 1
4534 1
4713 1
4716 1
4738 1
4760 1
4835 1
4897 1
4898 1
4934 1
4968 1
4978 1
5048 1
5055 1
5072 1
5106 1
5189 1
5200 1
5224 1
5260 1
5391 1
5398 1
5454 1
5459 1
5538 1
5670 1
5698 1
5748 1
5757 1
5802 1
5980 1
6012 1
6013 1
6046 1
6066 1
6115 1
6121 1
6132 1
6172 1
6213 1
6269 1
6560 1
6655 1
6691 1
6696 1
6811 1
6863 1
6874 1
6901 1
6922 1
6968 1
6972 1
6995 1
7038 1
7134 1
7241 1
7314 1
7320 1
7475 1
7480 1
7492 1
7583 1
7642 1
7643 1
7664 1
7665 1
7666 1
7738 1
7781 1
7784 1
7822 1
7833 1
8006 1
8016 1
8039 1
8149 1
8178 1
8208 1
8212 1
8250 1
8304 1
8339 1
8444 1
8484 1
8495 1
8498 1
8515 1
8659 1
8682 1
8720 1
8755 1
8788 1
8935 1
9005 1
9180 1
9284 1
9375 1
9403 1
9409 1
9453 1
9651 1
9767 1
9783 1
9785 1
9806 1
9902 1
9909 2
9951 1
9962 1
9973 1
