x y
23 1
28 1
259 1
547 1
567 1
574 1
610 1
771 1
772 1
827 1
861 1
889 1
923 1
962 1
1024 1
1055 1
1091 1
1189 1
1201 1
1263 1
1272 1
1294 1
1321 1
1326 1
1378 1
1397 1
1409 1
1479 1
1543 1
1551 1
1593 1
1638 1
1651 1
1663 1
1675 1
1711 1
1768 1
1835 1
1850 1
1858 1
1873 1
1908 1
1941 1
2002 1
2028 1
2172 1
2234 1
2245 1
2251 1
2255 1
2273 1
2370 1
2427 1
2444 1
2489 1
2514 1
2531 1
2539 1
2711 1
2749 1
2761 1
2876 1
2909 1
2916 1
2917 1
2928 1
3033 1
3035 1
3060 1
3098 1
3134 1
3144 1
3266 1
3307 1
3358 1
3359 1
3388 1
3404 1
3430 1
3435 1
3537 1
3568 1
3577 1
3588 1
3615 1
3673 1
3746 1
3818 1
3922 1
3992 1
4009 1
4070 1
4086 2
4142 1
4172 1
4217 1
4291 1
4303 1
4336 1
4364 1
4409 1
4423 1
4545 1
4597 1
4638 1
4642 1
4650 1
4678 1
4789 1
4806 1
4852 1
4911 1
5090 1
5111 1
5128 1
5131 1
5207 1
5387 1
5415 1
5465 1
5617 1
5623 1
5638 1
5647 1
5719 1
5721 1
5862 1
5984 1
6059 1
6061 1
6244 1
6255 1
6309 1
6345 1
6410 1
6440 1
6602 1
6607 1
6659 1
6674 1
6697 1
6704 1
6778 1
6842 1
6899 1
6961 1
7080 1
7089 1
7147 1
7171 1
7199 1
7223 1
7410 1
7414 1
7465 1
7543 1
7628 1
7633 1
7748 1
7884 1
7978 1
7982 1
8000 1
8252 1
8279 1
8292 2
8328 1
8350 1
8365 1
8481 1
8531 1
8550 1
8567 1
8581 1
8591 1
8592 1
8695 1
8785 1
8792 1
8808 1
9080 1
9096 1
9099 1
9186 1
9255 1
9400 1
9444 1
9533 1
9548 1
9603 1
9651 1
9735 1
9762 1
9779 1
9810 1
9927 1
9959 1
9989 1
