x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
0 3689.0 1352.5 493.7 179.4 65.8 23.5 7.8 4.0 1.3 0.2
1 3659.3 2722.6 1496.2 746.5 343.2 150.7 68.7 24.9 10.9 4.5
2 1839.8 2684.0 2245.4 1459.7 840.7 454.1 221.4 109.6 47.9 22.9
3 628.0 1808.3 2242.8 1950.3 1384.8 883.5 514.5 275.2 145.9 78.3
4 149.7 909.0 1666.0 1962.4 1776.5 1341.9 911.6 567.9 339.5 188.0
5 28.0 354.2 1016.9 1551.8 1758.0 1592.4 1271.9 922.0 621.7 384.0
6 5.3 121.3 506.2 1034.9 1454.4 1588.9 1491.7 1225.6 906.2 623.9
7 0.7 36.9 218.2 592.2 1048.0 1393.6 1504.7 1411.5 1181.4 890.5
8 0.2 9.5 75.8 311.5 644.7 1057.4 1317.8 1387.5 1309.8 1118.9
9 0.0 1.6 27.6 131.0 364.3 688.1 997.8 1253.5 1302.2 1259.7
10 0.0 0.1 7.3 49.0 178.5 403.5 706.7 978.1 1186.5 1255.4
11 0.0 0.0 3.1 21.1 84.3 225.2 452.4 726.4 979.4 1146.7
12 0.0 0.0 0.8 7.3 36.7 112.1 265.7 470.1 718.3 941.3
13 0.0 0.0 0.0 1.7 12.0 49.2 139.1 302.9 503.6 731.1
14 0.0 0.0 0.0 1.1 5.2 21.9 70.6 170.6 325.8 532.5
15 0.0 0.0 0.0 0.0 2.0 9.2 32.7 86.2 199.9 336.1
16 0.0 0.0 0.0 0.1 0.6 3.3 15.0 48.8 110.6 213.2
17 0.0 0.0 0.0 0.0 0.2 1.2 5.7 21.1 56.7 135.4
18 0.0 0.0 0.0 0.0 0.1 0.2 2.8 9.3 27.9 69.4
19 0.0 0.0 0.0 0.0 0.0 0.1 0.9 2.8 13.8 36.0
20 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.9 6.2 16.4
21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 2.4 9.2
22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3 3.7
23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1 0.7 1.3
24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1 0.8
25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2
26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4
27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
