x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
0 3675.8 1358.0 504.1 188.5 67.0 24.8 9.2 3.7 0.9 0.2
1 3669.9 2701.3 1484.8 728.1 335.1 153.7 64.2 27.0 11.2 6.3
2 1860.6 2717.7 2252.0 1467.6 832.0 441.0 218.8 114.6 49.8 22.3
3 607.9 1790.7 2235.3 1955.3 1414.6 888.9 536.8 286.1 146.8 81.7
4 149.0 901.4 1665.5 1944.6 1742.6 1320.0 903.1 562.9 344.2 184.8
5 31.9 361.9 1017.3 1573.3 1790.0 1622.4 1275.6 911.6 603.8 373.5
6 4.7 122.3 502.3 1039.6 1462.1 1614.9 1482.2 1227.7 903.4 638.0
7 0.1 35.6 220.1 583.8 1027.6 1380.6 1482.5 1390.1 1162.2 890.7
8 0.1 7.5 77.9 296.7 647.7 1030.7 1313.9 1392.4 1319.9 1132.6
9 0.0 2.9 30.8 138.9 354.9 683.4 1016.5 1249.1 1332.8 1251.4
10 0.0 0.7 7.3 55.7 185.5 417.6 722.9 991.9 1186.3 1258.6
11 0.0 0.0 2.3 17.9 81.9 222.5 449.2 721.0 975.9 1134.9
12 0.0 0.0 0.3 6.8 36.4 115.6 253.0 486.0 731.6 956.7
13 0.0 0.0 0.0 2.6 16.3 50.9 147.8 298.5 501.9 712.2
14 0.0 0.0 0.0 0.3 4.6 19.7 65.7 167.2 321.5 510.4
15 0.0 0.0 0.0 0.3 1.1 8.8 33.1 91.1 188.7 343.7
16 0.0 0.0 0.0 0.0 0.5 2.3 15.8 43.8 106.0 223.2
17 0.0 0.0 0.0 0.0 0.1 1.3 5.7 20.1 60.6 128.2
18 0.0 0.0 0.0 0.0 0.0 0.4 3.4 7.9 29.4 73.1
19 0.0 0.0 0.0 0.0 0.0 0.5 0.1 4.2 13.1 41.6
20 0.0 0.0 0.0 0.0 0.0 0.0 0.2 2.2 6.9 20.4
21 0.0 0.0 0.0 0.0 0.0 0.0 0.3 0.5 2.0 8.7
22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2 0.4 4.0
23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1 0.5 1.9
24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1 0.1 0.7
25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1 0.2
26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
